date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:59	202744/202744	---MCZ	200	added ('OK')	application/x-font-ttf	etag:%22317f8-5df728474db68-gzip%22	http://mindsetproduction.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.ttf	C:/Meus%20Sites/Hydra/mindsetproduction.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.ttf	(from http://mindsetproduction.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3)
16:30:04	134346/134346	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%2220cca-5df728475635a-gzip%22	http://mindsetproduction.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	C:/Meus%20Sites/Hydra/mindsetproduction.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	(from http://mindsetproduction.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3)
16:30:04	76764/76764	---MCZ	200	added ('OK')	application/font-woff2	etag:%2212bdc-5df728474fbce-gzip%22	http://mindsetproduction.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2	C:/Meus%20Sites/Hydra/mindsetproduction.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2	(from http://mindsetproduction.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3)
16:30:07	134346/134346	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%2220cca-5df728475635a-gzip%22	http://mindsetproduction.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot?	C:/Meus%20Sites/Hydra/mindsetproduction.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400d41d.eot	(from http://mindsetproduction.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3)
16:30:12	747545/747545	---MCZ	200	added ('OK')	image/svg+xml	etag:%22b6819-5df7284752eb2-gzip%22	http://mindsetproduction.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.svg	C:/Meus%20Sites/Hydra/mindsetproduction.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.svg	(from http://mindsetproduction.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3)
16:30:13	90060/90060	---MCZ	200	added ('OK')	application/font-woff	etag:%2215fcc-5df728474c564-gzip%22	http://mindsetproduction.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff	C:/Meus%20Sites/Hydra/mindsetproduction.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff	(from http://mindsetproduction.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3)
16:30:13	60554/60554	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20May%202022%2019:30:11%20GMT	http://mindsetproduction.com.br/c	C:/Meus%20Sites/Hydra/mindsetproduction.com.br/c.2b.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
16:30:14	134040/134040	---MCZ	200	added ('OK')	application/x-font-ttf	etag:%2220b98-5df728474a349-gzip%22	http://mindsetproduction.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.ttf	C:/Meus%20Sites/Hydra/mindsetproduction.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.ttf	(from http://mindsetproduction.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3)
16:30:16	60554/60554	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20May%202022%2019:30:15%20GMT	http://mindsetproduction.com.br/b	C:/Meus%20Sites/Hydra/mindsetproduction.com.br/b	(from https://connect.facebook.net/en_US/fbevents.js)
16:30:19	60554/60554	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20May%202022%2019:30:18%20GMT	http://mindsetproduction.com.br/POST	C:/Meus%20Sites/Hydra/mindsetproduction.com.br/POST	(from https://connect.facebook.net/en_US/fbevents.js)
16:30:21	190/190	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Fri,%2020%20May%202022%2019:30:20%20GMT	http://mindsetproduction.com.br/-negative.svg	C:/Meus%20Sites/Hydra/mindsetproduction.com.br/-negative.svg	(from http://mindsetproduction.com.br/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.6.5)
16:30:24	60554/60554	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20May%202022%2019:30:23%20GMT	http://mindsetproduction.com.br/OPR/	C:/Meus%20Sites/Hydra/mindsetproduction.com.br/OPR/index.html	(from http://mindsetproduction.com.br/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.6.5)
